"","subject.x","session","trial","condition","transition_category","n","transition_binary"
"1","Arko3",1,1,"gazing","Face-Hand",0,0
"2","Arko3",1,1,"gazing","Face-Correct Bowl",0,0
"3","Arko3",1,1,"gazing","Hand-Correct Bowl",0,0
"4","Arko3",1,2,"gazing","Face-Hand",0,0
"5","Arko3",1,2,"gazing","Face-Correct Bowl",0,0
"6","Arko3",1,2,"gazing","Hand-Correct Bowl",0,0
"7","Arko3",1,3,"control","Face-Hand",0,0
"8","Arko3",1,3,"control","Face-Correct Bowl",0,0
"9","Arko3",1,3,"control","Hand-Correct Bowl",0,0
"10","Arko3",1,4,"gazing","Face-Hand",0,0
"11","Arko3",1,4,"gazing","Face-Correct Bowl",0,0
"12","Arko3",1,4,"gazing","Hand-Correct Bowl",0,0
"13","Arko3",1,5,"gazing","Face-Hand",0,0
"14","Arko3",1,5,"gazing","Face-Correct Bowl",0,0
"15","Arko3",1,5,"gazing","Hand-Correct Bowl",0,0
"16","Arko3",1,6,"gazing","Face-Hand",0,0
"17","Arko3",1,6,"gazing","Face-Correct Bowl",0,0
"18","Arko3",1,6,"gazing","Hand-Correct Bowl",0,0
"19","Arko3",1,7,"gazing","Face-Hand",0,0
"20","Arko3",1,7,"gazing","Face-Correct Bowl",0,0
"21","Arko3",1,7,"gazing","Hand-Correct Bowl",0,0
"22","Arko3",1,8,"control","Face-Hand",0,0
"23","Arko3",1,8,"control","Face-Correct Bowl",0,0
"24","Arko3",1,8,"control","Hand-Correct Bowl",0,0
"25","Arko3",1,9,"pointing","Face-Hand",0,0
"26","Arko3",1,9,"pointing","Face-Correct Bowl",0,0
"27","Arko3",1,9,"pointing","Hand-Correct Bowl",0,0
"28","Arko3",1,10,"pointing","Face-Hand",0,0
"29","Arko3",1,10,"pointing","Face-Correct Bowl",0,0
"30","Arko3",1,10,"pointing","Hand-Correct Bowl",0,0
"31","Arko3",1,11,"pointing","Face-Hand",0,0
"32","Arko3",1,11,"pointing","Face-Correct Bowl",0,0
"33","Arko3",1,11,"pointing","Hand-Correct Bowl",0,0
"34","Arko3",1,12,"pointing","Face-Hand",0,0
"35","Arko3",1,12,"pointing","Face-Correct Bowl",0,0
"36","Arko3",1,12,"pointing","Hand-Correct Bowl",0,0
"37","Arko3",1,13,"control","Face-Hand",0,0
"38","Arko3",1,13,"control","Face-Correct Bowl",0,0
"39","Arko3",1,13,"control","Hand-Correct Bowl",0,0
"40","Arko3",1,14,"pointing","Face-Hand",0,0
"41","Arko3",1,14,"pointing","Face-Correct Bowl",0,0
"42","Arko3",1,14,"pointing","Hand-Correct Bowl",2,1
"43","Arko3",1,15,"pointing","Face-Hand",0,0
"44","Arko3",1,15,"pointing","Face-Correct Bowl",0,0
"45","Arko3",1,15,"pointing","Hand-Correct Bowl",0,0
"46","Arko3",2,1,"throwing","Face-Hand",1,1
"47","Arko3",2,1,"throwing","Face-Correct Bowl",0,0
"48","Arko3",2,1,"throwing","Hand-Correct Bowl",0,0
"49","Arko3",2,2,"throwing","Face-Hand",1,1
"50","Arko3",2,2,"throwing","Face-Correct Bowl",0,0
"51","Arko3",2,2,"throwing","Hand-Correct Bowl",0,0
"52","Arko3",2,3,"control","Face-Hand",0,0
"53","Arko3",2,3,"control","Face-Correct Bowl",0,0
"54","Arko3",2,3,"control","Hand-Correct Bowl",0,0
"55","Arko3",2,4,"throwing","Face-Hand",0,0
