"","yarbus_file","subject","interest_period","session","trial","aoi3","condition","first_look"
"1","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,1,"face","pointing",0
"2","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,1,"hand","pointing",1669
"3","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,1,"correct bowl","pointing",1835
"4","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,2,"face","pointing",0
"5","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,2,"body","pointing",2245
"6","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,2,"hand","pointing",610
"7","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,2,"correct bowl","pointing",777
"8","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,3,"face","control",0
"9","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,4,"body","pointing",0
"10","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,4,"hand","pointing",1068
"11","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,4,"correct bowl","pointing",233
"12","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,5,"face","pointing",0
"13","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,5,"body","pointing",198
"14","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,5,"hand","pointing",631
"15","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,6,"face","pointing",0
"16","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,6,"hand","pointing",71
"17","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,6,"correct bowl / hand","pointing",273
"18","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,7,"face","pointing",0
"19","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,8,"face","control",0
"20","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,9,"face","gazing",0
"21","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,10,"face","gazing",0
"22","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,11,"face","gazing",0
"23","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,11,"hand","gazing",222
"24","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,11,"correct bowl","gazing",555
"25","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,12,"face","gazing",0
"26","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,13,"face","control",0
"27","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,14,"face","gazing",0
"28","MobileET_ostension_panda_s1_yarbus_new","Panda","signaling",1,15,"face","gazing",0
"29","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,1,"face","p+g",0
"30","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,2,"face","p+g",0
"31","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,2,"body","p+g",1662
"32","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,2,"hand","p+g",427
"33","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,2,"correct bowl","p+g",862
"34","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,3,"face","control",0
"35","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,4,"face","p+g",0
"36","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,4,"body","p+g",1051
"37","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,4,"hand","p+g",316
"38","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,4,"occluder","p+g",1484
"39","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,5,"body","p+g",0
"40","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,6,"face","p+g",0
"41","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,7,"correct bowl / hand","p+g",0
"42","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,8,"face","control",0
"43","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,9,"face","gazing",0
"44","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,10,"face","gazing",2620
"45","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,10,"body","gazing",0
"46","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,11,"body","gazing",0
"47","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,12,"face","gazing",0
"48","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,13,"face","control",313
"49","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,13,"body","control",0
"50","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,14,"face","gazing",0
"51","mobileET_ostension_Jimi_S1_Yarbus","Jimi","signaling",1,15,"body","gazing",0
"52","mobileET_ostension_Lumi_s1_yarbus","Lumi","signaling",1,1,"face","throwing",633
"53","mobileET_ostension_Lumi_s1_yarbus","Lumi","signaling",1,1,"body","throwing",365
