"","X","yarbus_file","trial","interest_period","subject","session","aoi","fixation_time","breed","age","sex","neutering_status","birth_date","test_date","condition","baited_side","correct","chosen_side","dark_green_bowl_side","ET_data","comment","chosen_bowl","correct_bowl","ip_duration","prop_fixation_time","experimenter"
"1",1,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"torso",458,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0.916,"kg"
"2",2,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"bright_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"3",3,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"4",4,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"legs",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"5",5,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"6",6,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"face",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"7",7,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"dark_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"8",8,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"9",9,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"10",10,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
"11",11,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"addressing","Arko3",1,"hand",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",500,0,"kg"
