"","subject","breed","age","sex","neutering_status","birth_date","test_date","trial_number","session","condition","baited_side","correct","chosen_side","dark_green_bowl_side","ET_data","session_new","yarbus_file","experimenter"
"1","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",1,1,"gazing","l","0","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part1","kg"
"2","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",2,1,"gazing","r","1","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part1","kg"
"3","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",3,1,"control","l","0","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part1","kg"
"4","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",4,1,"gazing","r","1","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part1","kg"
"5","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",5,1,"gazing","l","0","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part1","kg"
"6","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",6,1,"gazing","r","1","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part1","kg"
"7","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",7,1,"gazing","r","1","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part1","kg"
"8","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",8,1,"control","l","0","r","",1,1,"","kg"
"9","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",9,1,"pointing","r","1","r","",1,1,"","kg"
"10","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",10,1,"pointing","l","0","r","",1,1,"","kg"
"11","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",11,1,"pointing","l","0","r","r",1,1,"mobileET_ostension_arco_s1_yarbus_new_part2","kg"
"12","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",12,1,"pointing","r","1","r","l",1,1,"mobileET_ostension_arco_s1_yarbus_new_part2","kg"
"13","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",13,1,"control","r","1","r","l",1,1,"mobileET_ostension_arco_s1_yarbus_new_part2","kg"
"14","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",14,1,"pointing","l","0","r","l",1,1,"mobileET_ostension_arco_s1_yarbus_new_part2","kg"
"15","Arko3","collie",15,"m","unneutered","22/03/2021","14/07/2022",15,1,"pointing","l","0","r","l",1,1,"mobileET_ostension_arco_s1_yarbus_new_part2","kg"
"16","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",16,2,"throwing","r","0","l","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"17","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",17,2,"throwing","l","0","r","l",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"18","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",18,2,"control","r","1","r","l",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"19","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",19,2,"throwing","l","0","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"20","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",20,2,"throwing","r","1","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"21","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",21,2,"throwing","r","1","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"22","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",22,2,"throwing","l","0","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"23","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",23,2,"control","l","0","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"24","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",24,2,"p+g","r","1","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"25","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",25,2,"p+g","l","0","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"26","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",26,2,"p+g","r","1","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"27","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",27,2,"p+g","l","0","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"28","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",28,2,"control","r","1","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"29","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",29,2,"p+g","l","1","l","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"30","Arko3","collie",19,"m","unneutered","22/03/2021","28/10/2022",30,2,"p+g","r","1","r","r",1,2,"mobileET_ostension_arco_s3_yarbus","kg"
"31","Diara","rhodesian_ridgeback",23,"f","unneutered","08/09/2020","06/09/2022",1,2,"throwing","l","0","r","l",1,1,"mobileET_ostention_diara_s2_yarbus_new","kg"
