"","subject","sex","age","session","trial","condition","baited_side","interest_period","max_x","min_x","median_x","mean_x","baitedX"
"1","Arko3","m","15",1,1,"gazing","l","addressing",313.23,304.9,307.415,308.223,313.23
"2","Arko3","m","15",1,1,"gazing","l","baiting",343.02,203.14,320.215,312.078974358974,343.02
"3","Arko3","m","15",1,1,"gazing","l","bowl_displacement",384.89,153.77,319.24,310.430955882353,384.89
"4","Arko3","m","15",1,1,"gazing","l","choice",346.28,112.19,311.49,295.016347826087,346.28
"5","Arko3","m","15",1,1,"gazing","l","signaling",328.79,310.58,322.015,321.4971875,328.79
"6","Arko3","m","15",1,2,"gazing","r","addressing",318.92,305.88,308.355,310.025,305.88
"7","Arko3","m","15",1,2,"gazing","r","baiting",292.92,248.79,272.595,273.088762886598,248.79
"8","Arko3","m","15",1,2,"gazing","r","bowl_displacement",317.75,210.37,273.79,262.839279279279,210.37
"9","Arko3","m","15",1,2,"gazing","r","choice",393.43,219.62,292.455,284.284090909091,219.62
"10","Arko3","m","15",1,2,"gazing","r","signaling",315.57,295.06,301.42,302.632054794521,295.06
"11","Arko3","m","15",1,3,"control","l","addressing",178.45,162.92,173.27,172.694117647059,178.45
"12","Arko3","m","15",1,3,"control","l","baiting",242.18,178.39,223.95,220.973414634146,242.18
"13","Arko3","m","15",1,3,"control","l","bowl_displacement",318.25,189.65,228.135,236.251515151515,318.25
"14","Arko3","m","15",1,3,"control","l","choice",294.45,183.29,260.44,256.028474576271,294.45
"15","Arko3","m","15",1,3,"control","l","signaling",178.64,178.11,178.375,178.375,178.64
"16","Arko3","m","15",1,4,"gazing","r","baiting",297.52,241.3,274.73,274.652483660131,241.3
"17","Arko3","m","15",1,4,"gazing","r","bowl_displacement",381.85,123.95,329.74,312.065824175824,123.95
"18","Arko3","m","15",1,4,"gazing","r","choice",325.26,238.32,284.395,285.095961538462,238.32
"19","Arko3","m","15",1,4,"gazing","r","signaling",357.73,273.34,287.93,293.023157894737,273.34
"20","Arko3","m","15",1,5,"gazing","l","addressing",303.39,294.23,300.525,299.816875,303.39
"21","Arko3","m","15",1,5,"gazing","l","baiting",295.13,266.71,277.075,278.675375,295.13
"22","Arko3","m","15",1,5,"gazing","l","bowl_displacement",322.31,255.5,272.24,283.316666666667,322.31
"23","Arko3","m","15",1,5,"gazing","l","choice",390.52,41.07,289.045,287.264512195122,390.52
