"","Estimate","Std. Error","z value","Pr(>|z|)"
"gazing - control",1.38040352082809,1.36787886784652,1.00915625884424,0.837175567851286
"p+g - control",2.64729148711412,1.05287999711997,2.51433353692297,0.078327876719178
"pointing - control",1.83825241348598,1.09399682428285,1.68030872913275,0.420204104144276
"throwing - control",-0.0168805662338136,1.42473128562871,-0.0118482456334666,0.999999994922835
"p+g - gazing",1.26688796628603,0.976223240011338,1.29774411667491,0.669910042909724
"pointing - gazing",0.457848892657894,1.02794834032083,0.445400682795981,0.990825939343529
"throwing - gazing",-1.3972840870619,1.37588687902506,-1.01555157503356,0.833994142227656
"pointing - p+g",-0.809039073628134,0.531114328650434,-1.52328609865207,0.521094139145173
"throwing - p+g",-2.66417205334793,1.05319974518825,-2.52959808006006,0.0752315537446315
"throwing - pointing",-1.8551329797198,1.09521506487251,-1.69385268630846,0.41174839548253
