"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)"," 0.15","0.37","   NA",NA,"   NA",0.406564057558887,0.68432820012213
"conditiongazing"," 0.51","0.28","14.45",4,"0.006",1.82636028692531,0.0677960097025843
"conditionp+g"," 1.12","0.39","   NA",NA,"   NA",2.85241879368939,0.00433878966703317
"conditionpointing"," 0.85","0.28","   NA",NA,"   NA",3.00680204732054,0.00264011622909343
"conditionthrowing"," 0.22","0.27","   NA",NA,"   NA",0.825092548612932,0.40931904978885
"bowl_lookno_look","-0.66","0.33"," 4.07",1,"0.044",-2.02088975487726,0.0432911786953734
"z.trial"," 0.01","0.10"," 0.01",1,"0.927",0.0912521569215247,0.927292232557569
"z.session"," 0.05","0.09"," 0.30",1,"0.581",0.552285938260646,0.580752463200897
"z.age"," 0.12","0.10"," 1.37",1,"0.243",1.18314115783415,0.236753208555711
"sexm"," 0.33","0.20"," 2.55",1,"0.110",1.64059624327058,0.100881255341238
