"","Estimate","Std. Error","z value","Pr(>|z|)"
"gazing - control",0.508162482896281,0.278237808024054,1.82636028692531,0.351920115716835
"p+g - control",1.12171749839207,0.393251334928001,2.85241879368939,0.0337369416157944
"pointing - control",0.850141737381422,0.282739509951782,3.00680204732054,0.0215197293686364
"throwing - control",0.223907099147204,0.271372101861319,0.825092548612932,0.921070894567114
"p+g - gazing",0.613555015495789,0.394970880261874,1.55341835602916,0.521050111831383
"pointing - gazing",0.34197925448514,0.287064632632393,1.19129706557432,0.751695794104534
"throwing - gazing",-0.284255383749077,0.279913247591106,-1.01551243535395,0.845006171178038
"pointing - p+g",-0.271575761010649,0.387533519253272,-0.700780055190946,0.955221661140075
"throwing - p+g",-0.897810399244867,0.382536364184072,-2.34699360192813,0.126672492657175
"throwing - pointing",-0.626234638234218,0.278709468338229,-2.24690837368413,0.158367901784993
